#{"t_start": 1789427883.1638968, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
185.0,1937,3829.945189
165.0,1891,3837.777411
360.0,3147,3850.888633
375.0,3739,3866.457417
320.0,3123,3879.398799
235.0,3903,3895.843116
550.0,3251,3909.318588
570.0,3165,3922.387038
125.0,2135,3931.174979
125.0,1665,3938.124869
165.0,1493,3944.115651
250.0,2637,3959.254848
215.0,1933,3968.752895
170.0,1787,3976.711943
145.0,1841,3984.770078
305.0,2991,3998.700406
220.0,2169,4008.238156
385.0,3685,4024.519467
210.0,2455,4035.170947
155.0,1947,4044.119159
130.0,1897,4052.308058
250.0,2465,4063.154623
70.0,1579,4070.301476
315.0,3027,4083.89351
185.0,1971,4092.253392
245.0,2155,4101.941444
225.0,2189,4111.545244
410.0,3471,4126.711419
155.0,2121,4136.678599
230.0,2045,4146.303595
420.0,2417,4156.719537
205.0,2451,4167.320574
270.0,2095,4176.723188
490.0,4961,4198.436616
295.0,3735,4215.032524
235.0,2565,4226.218204
250.0,2659,4237.72544
245.0,2579,4249.552589
445.0,5239,4272.745395
220.0,2437,4283.741922
335.0,3213,4298.074184
100.0,1137,4302.818886
210.0,2511,4314.088617
90.0,1131,4320.253029
395.0,4018,4338.057571
330.0,3500,4353.18986
185.0,1875,4361.756653
205.0,2425,4372.353619
160.0,2007,4381.157804
485.0,3289,4395.353274
200.0,1873,4403.324325
480.0,4439,4422.623215
255.0,2279,4432.244487
105.0,1225,4437.654744
295.0,2361,4447.70297
110.0,1343,4453.344005
175.0,1877,4461.636111
260.0,2073,4470.454073
140.0,1787,4477.919543
175.0,1927,4486.405143
330.0,3217,4501.000326
250.0,2047,4510.27415
285.0,2635,4521.756606
320.0,2971,4534.936036
220.0,2925,4547.768312
300.0,2929,4560.066747
200.0,1669,4567.601442
75.0,1775,4575.239785
210.0,1925,4583.398274
345.0,2379,4594.217889
245.0,2201,4603.524097
190.0,1621,4610.533687
90.0,2039,4619.352247
225.0,2537,4648.20674
290.0,3593,4664.487556
235.0,2459,4674.980068
285.0,2105,4685.09664
125.0,1171,4690.084064
260.0,2569,4701.167212
105.0,1021,4705.634188
250.0,2533,4717.043173
75.0,1165,4721.967891
265.0,3175,4735.822252
75.0,1213,4741.36225
235.0,3265,4755.557083
170.0,1835,4763.320804
115.0,1531,4770.358686
195.0,1885,4778.551595
200.0,1629,4785.589023
205.0,2441,4796.639737
305.0,3177,4810.434491
430.0,4839,4831.63172
205.0,2529,4842.451025
335.0,3003,4856.255472
30.0,981,4860.791091
575.0,3009,4874.333213
280.0,3093,4888.214499
400.0,3719,4904.99774
235.0,1853,4913.052142
445.0,3891,4930.581352
425.0,3659,4946.569982
200.0,1719,4953.782118
270.0,2473,4964.728275
205.0,2459,4976.09202
410.0,3971,4993.831661
195.0,3127,5007.283852
780.0,4876,5028.567191
450.0,2661,5039.76764
205.0,2127,5049.633859
225.0,1749,5057.017085
545.0,5399,5080.61426
205.0,2409,5090.816301
330.0,3091,5104.01465
275.0,1885,5112.212089
275.0,2661,5123.466949
215.0,2567,5134.389992
220.0,2125,5143.844297
160.0,2429,5154.120851
210.0,1793,5161.734291
400.0,2919,5174.348356
275.0,2115,5183.738205
155.0,2119,5192.884557
370.0,2007,5201.511724
230.0,1823,5209.593524
300.0,3549,5226.248644
165.0,2065,5235.312912
190.0,1667,5243.008844
225.0,2145,5252.210582
510.0,3047,5265.444682
290.0,2967,5278.557997
220.0,2475,5289.22512
365.0,3325,5303.540047
315.0,3027,5316.727983
335.0,2621,5328.42593
200.0,1973,5336.93962
110.0,1463,5343.02466
165.0,1983,5351.977272
235.0,2569,5362.970891
240.0,2163,5372.307075
80.0,1135,5377.3424
245.0,3087,5390.855896
180.0,2013,5399.642865
75.0,1143,5404.917601
165.0,1649,5412.756179
395.0,3341,5427.342661
225.0,2435,5437.888994
260.0,3121,5451.90445
170.0,1913,5460.104409
340.0,4049,5477.712515
75.0,1105,5482.604791
105.0,1741,5490.392446
440.0,4373,5508.970649
345.0,2671,5520.255268
175.0,2945,5533.143573
105.0,1375,5538.870286
215.0,1963,5546.998929
335.0,4299,5565.693137
335.0,3555,5580.526881
75.0,1105,5585.673844
345.0,2903,5598.774639
215.0,2221,5608.039448
175.0,1605,5614.784562
185.0,2385,5624.81839
245.0,2731,5636.465438
115.0,1937,5645.620085
220.0,1897,5653.798324
215.0,2019,5662.873611
205.0,2453,5673.639786
110.0,1207,5678.979978
190.0,1705,5686.63678
95.0,1353,5692.634882
80.0,1075,5697.287463
75.0,1067,5701.816013
130.0,1543,5708.832865
280.0,2793,5720.999446
185.0,1987,5729.550069
185.0,2073,5738.916659
315.0,2821,5751.496505
260.0,3215,5767.002833
295.0,3023,5779.63014
195.0,1879,5787.324743
210.0,2617,5798.37774
320.0,3269,5812.123492
235.0,2449,5822.798855
170.0,1851,5830.480644
320.0,3177,5843.580197
280.0,3593,5858.755211
270.0,2539,5868.969161
210.0,2045,5877.278111
300.0,2151,5886.066989
150.0,1927,5893.931895
275.0,2763,5905.091989
145.0,1663,5911.658368
80.0,2073,5920.000115
510.0,3085,5932.487085
390.0,3811,5947.737665
530.0,2961,5959.576015
415.0,4471,5977.742378
435.0,3023,5989.957573
335.0,3021,6002.167865
205.0,2705,6012.957284
340.0,4343,6030.392143
200.0,1533,6036.535604
600.0,3707,6051.596895
195.0,1569,6057.718076
310.0,2343,6067.142224
315.0,2581,6077.487559
420.0,2429,6087.367307
255.0,2089,6095.75783
75.0,1193,6100.491455
280.0,2245,6109.717582
130.0,1875,6117.208602
305.0,2629,6128.261179
215.0,1943,6135.986696
130.0,1971,6144.161963
185.0,1931,6152.044819
90.0,1133,6156.519813
315.0,3523,6171.194703
515.0,3045,6183.838242
265.0,1891,6191.488731
290.0,3307,6205.005705
300.0,3489,6219.257647
410.0,3893,6235.4867
215.0,1775,6242.54768
215.0,2331,6252.13402
270.0,2491,6262.350938
420.0,2833,6273.938753
180.0,1997,6282.059268
220.0,2581,6292.682375
195.0,2445,6302.90393
105.0,1321,6308.392119
110.0,1709,6315.424002
295.0,4251,6333.628226
215.0,1901,6341.574756
270.0,2549,6352.681005
355.0,2491,6362.882222
255.0,3027,6375.355206
280.0,2949,6387.706453
230.0,2397,6409.266672
345.0,3567,6423.793391
105.0,1881,6431.519173
215.0,1871,6439.33219
220.0,2039,6447.778432
190.0,1857,6455.831981
230.0,3165,6468.960898
240.0,3461,6482.959244
400.0,4919,6503.533869
210.0,1919,6511.399332
225.0,2261,6520.631866
155.0,1963,6528.574821
125.0,1961,6536.556464
185.0,1859,6544.229661
180.0,2159,6552.93948
210.0,2331,6562.273612
145.0,1891,6569.985552
