#{"t_start": 1789427883.277446, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
1320.0,6041,47836.749132
575.0,3527,47838.81571
545.0,3231,47840.640758
800.0,3563,47842.713814
990.0,5159,47845.73264
600.0,3489,49571.269638
600.0,3447,49573.277963
745.0,2853,49574.861468
515.0,3477,49577.804757
580.0,3383,49580.445651
545.0,3015,49582.277894
545.0,3809,49584.524632
500.0,3237,49586.480147
540.0,2999,49588.167034
775.0,2782,49589.881686
600.0,3693,51296.927783
600.0,3107,51298.733034
525.0,3136,51300.695017
710.0,4285,51303.412058
575.0,3685,51305.794757
800.0,3559,51308.093633
1200.0,6830,51312.194897
575.0,3272,51314.165866
600.0,3581,51316.243288
670.0,2987,51317.939896
570.0,3657,53049.043362
600.0,3229,53050.859451
1090.0,6249,53054.509102
605.0,3025,53056.308064
1210.0,7477,53060.590672
805.0,2809,53062.183993
800.0,3519,53064.258034
975.0,3651,53066.481828
570.0,3531,53068.878599
470.0,3295,53070.806776
580.0,3023,54781.04539
600.0,3025,54782.855987
660.0,4477,54785.405144
810.0,3389,54787.388291
805.0,4139,54789.740983
800.0,3373,54791.740651
600.0,3265,54793.622012
600.0,3437,54795.664802
910.0,5187,54798.656183
570.0,3438,54800.605385
1000.0,3165,56514.319743
555.0,2694,56515.878941
600.0,2813,56517.552941
605.0,3595,56519.722036
1145.0,6733,56523.612015
950.0,4765,56526.339996
570.0,3763,56528.802276
575.0,2775,56530.678884
1115.0,6365,56534.580639
600.0,3069,56536.325613
525.0,3128,58229.785656
600.0,4211,58232.25075
600.0,3719,58234.349782
1035.0,5565,58237.586765
1260.0,6677,58241.458627
600.0,3503,58243.505028
775.0,3670,58245.657487
900.0,5402,58248.82072
940.0,5689,58252.117956
600.0,3657,58254.267296
775.0,3132,59949.382852
1365.0,5166,59952.439352
570.0,3379,59954.480249
800.0,3363,59956.437783
520.0,3351,59958.369555
600.0,3499,59960.38005
605.0,2739,59961.948269
570.0,3089,59963.752622
545.0,2908,59965.448507
1230.0,6359,59969.136437
600.0,3969,61682.366589
545.0,2803,61684.162791
575.0,2933,61685.840293
570.0,3427,61687.913677
770.0,3547,61689.922321
600.0,3543,61691.95778
640.0,3159,61693.787335
600.0,3361,61695.732029
975.0,3029,61697.469822
435.0,2771,61699.13367
600.0,3441,63399.322866
575.0,3230,63401.131135
800.0,3797,63403.358248
1160.0,7092,63407.525017
575.0,3427,63409.445181
570.0,3722,63411.577445
580.0,3302,63413.475686
600.0,3517,63415.5616
780.0,3406,63417.509418
805.0,4109,63419.899555
600.0,3021,65108.895048
605.0,3081,65110.723561
540.0,3498,65112.738651
600.0,3261,65114.67289
550.0,2711,65116.290437
600.0,3761,65118.505302
570.0,2896,65120.12127
545.0,3514,65122.122919
600.0,2829,65123.707886
1155.0,6595,65127.506525
545.0,3590,66837.245135
1075.0,5749,66840.603315
550.0,3573,66842.68312
650.0,4127,66845.31948
575.0,3435,66847.340952
1150.0,6537,66851.100702
800.0,3797,66853.242146
1355.0,6573,66857.10048
1270.0,7197,66861.303417
575.0,3716,66863.485878
1175.0,6078,68554.708069
1020.0,6307,68558.368869
570.0,3983,68560.651276
780.0,4619,68563.38242
550.0,3216,68565.166909
1140.0,6231,68568.784566
990.0,6097,68572.277084
1130.0,6919,68576.211165
570.0,3621,68578.23338
740.0,2753,68579.87157
